locked_world
1
added_wilds
700
type	added_count	min_level	max_level
forest	100	1	6
hill	100	1	6
rarefactory	100	1	6
swamp	100	1	6
oil	100	1	6
ironworks	100	1	6
grainfield	100	1	6
id	type	x	y	level	total_res	garrison
521	forest	0	84	2	0	{"infantry":10}
522	forest	0	102	4	0	{"motor":20}
523	hill	0	111	3	0	{"armored":15}
524	forest	0	117	2	0	{"motor":10}
525	rarefactory	0	147	4	3200	{"armored":20}
526	swamp	1	43	3	0	{"infantry":15}
527	oil	1	97	4	3200	{"infantry":20}
528	ironworks	1	122	5	4000	{"ltank":25}
529	forest	1	127	6	0	{"infantry":30}
530	ironworks	1	138	1	800	{"infantry":5}
531	ironworks	1	173	6	4800	{"motor":30}
532	oil	2	108	6	4800	{"infantry":30}
533	forest	2	167	2	0	{"motor":10}
534	grainfield	3	37	5	4000	{"ltank":25}
535	rarefactory	3	39	1	800	{"armored":5}
536	hill	3	61	2	0	{"armored":10}
537	rarefactory	3	81	6	4800	{"ltank":30}
538	hill	3	104	5	0	{"ltank":25}
539	rarefactory	3	124	4	3200	{"ltank":20}
540	ironworks	4	57	6	4800	{"ltank":30}
541	rarefactory	4	59	6	4800	{"ltank":30}
542	grainfield	4	67	4	3200	{"motor":20}
543	swamp	4	94	6	0	{"motor":30}
544	rarefactory	4	139	4	3200	{"armored":20}
545	swamp	4	152	6	0	{"ltank":30}
546	forest	5	5	3	0	{"ltank":15}
547	oil	5	21	6	4800	{"armored":30}
548	oil	5	65	4	3200	{"motor":20}
549	hill	5	78	3	0	{"motor":15}
550	swamp	5	150	1	0	{"motor":5}
551	rarefactory	5	165	3	2400	{"armored":15}
552	swamp	5	173	4	0	{"motor":20}
553	swamp	6	24	4	0	{"ltank":20}
554	hill	6	82	4	0	{"motor":20}
555	ironworks	7	1	4	3200	{"ltank":20}
556	rarefactory	7	7	5	4000	{"armored":25}
557	oil	7	58	5	4000	{"motor":25}
558	forest	7	102	4	0	{"ltank":20}
559	forest	7	127	6	0	{"infantry":30}
560	swamp	7	189	1	0	{"motor":5}
561	forest	8	61	6	0	{"infantry":30}
562	grainfield	8	78	2	1600	{"armored":10}
563	grainfield	8	91	4	3200	{"ltank":20}
564	rarefactory	8	104	1	800	{"ltank":5}
565	ironworks	8	150	6	4800	{"motor":30}
566	oil	9	73	3	2400	{"infantry":15}
567	hill	9	128	2	0	{"armored":10}
568	hill	9	169	2	0	{"motor":10}
569	oil	10	24	3	2400	{"motor":15}
570	hill	10	88	2	0	{"ltank":10}
571	swamp	10	100	5	0	{"armored":25}
572	rarefactory	11	52	2	1600	{"armored":10}
573	swamp	11	60	1	0	{"armored":5}
574	hill	11	90	1	0	{"ltank":5}
575	grainfield	11	147	1	800	{"motor":5}
576	swamp	11	178	6	0	{"armored":30}
577	oil	11	180	3	2400	{"ltank":15}
578	swamp	12	151	4	0	{"motor":20}
579	oil	12	154	6	4800	{"armored":30}
580	ironworks	12	158	6	4800	{"armored":30}
581	rarefactory	13	12	1	800	{"ltank":5}
582	hill	13	51	1	0	{"ltank":5}
583	rarefactory	13	54	3	2400	{"infantry":15}
584	rarefactory	13	94	2	1600	{"ltank":10}
585	ironworks	13	166	3	2400	{"motor":15}
586	ironworks	13	176	6	4800	{"ltank":30}
587	rarefactory	14	32	3	2400	{"infantry":15}
588	oil	14	38	3	2400	{"ltank":15}
589	forest	14	64	3	0	{"ltank":15}
590	ironworks	14	71	1	800	{"ltank":5}
591	grainfield	14	199	6	4800	{"motor":30}
592	grainfield	15	19	5	4000	{"infantry":25}
593	forest	15	36	5	0	{"infantry":25}
594	forest	15	60	4	0	{"motor":20}
595	swamp	17	47	1	0	{"infantry":5}
596	rarefactory	18	79	6	4800	{"infantry":30}
597	swamp	18	95	1	0	{"armored":5}
598	swamp	18	136	4	0	{"armored":20}
599	forest	18	145	4	0	{"armored":20}
600	swamp	18	176	5	0	{"motor":25}
601	ironworks	18	191	1	800	{"motor":5}
602	forest	19	22	2	0	{"motor":10}
603	rarefactory	19	33	2	1600	{"infantry":10}
604	rarefactory	20	1	4	3200	{"ltank":20}
605	forest	20	96	4	0	{"armored":20}
606	forest	20	128	1	0	{"motor":5}
607	oil	21	54	1	800	{"infantry":5}
608	forest	21	71	3	0	{"armored":15}
609	oil	21	74	2	1600	{"armored":10}
610	forest	21	189	3	0	{"infantry":15}
611	hill	22	99	5	0	{"ltank":25}
612	rarefactory	22	148	6	4800	{"motor":30}
613	forest	22	151	3	0	{"armored":15}
614	forest	22	173	6	0	{"infantry":30}
615	ironworks	22	182	5	4000	{"infantry":25}
616	swamp	23	34	1	0	{"motor":5}
617	swamp	23	61	6	0	{"infantry":30}
618	grainfield	23	111	4	3200	{"ltank":20}
619	hill	23	113	6	0	{"infantry":30}
620	forest	23	156	5	0	{"armored":25}
621	ironworks	23	193	4	3200	{"infantry":20}
622	grainfield	23	195	6	4800	{"motor":30}
623	ironworks	24	59	6	4800	{"infantry":30}
624	ironworks	24	94	4	3200	{"armored":20}
625	ironworks	24	151	4	3200	{"armored":20}
626	grainfield	25	50	2	1600	{"armored":10}
627	oil	25	85	3	2400	{"armored":15}
628	oil	25	96	6	4800	{"infantry":30}
629	ironworks	25	109	2	1600	{"ltank":10}
630	ironworks	25	148	2	1600	{"armored":10}
631	oil	26	62	6	4800	{"armored":30}
632	forest	26	99	5	0	{"infantry":25}
633	forest	26	126	3	0	{"infantry":15}
634	hill	26	145	2	0	{"ltank":10}
635	ironworks	27	9	4	3200	{"armored":20}
636	rarefactory	27	43	2	1600	{"motor":10}
637	hill	27	77	1	0	{"ltank":5}
638	rarefactory	27	103	4	3200	{"armored":20}
639	hill	27	150	5	0	{"motor":25}
640	oil	27	187	5	4000	{"armored":25}
641	oil	28	30	2	1600	{"armored":10}
642	swamp	28	81	1	0	{"motor":5}
643	oil	28	86	5	4000	{"infantry":25}
644	forest	28	127	6	0	{"motor":30}
645	rarefactory	29	7	2	1600	{"infantry":10}
646	hill	29	33	5	0	{"ltank":25}
647	forest	29	49	4	0	{"infantry":20}
648	grainfield	30	43	4	3200	{"motor":20}
649	oil	30	76	5	4000	{"infantry":25}
650	hill	30	115	4	0	{"armored":20}
651	forest	30	137	4	0	{"ltank":20}
652	oil	31	21	1	800	{"motor":5}
653	hill	31	74	6	0	{"motor":30}
654	hill	31	98	4	0	{"ltank":20}
655	ironworks	31	109	6	4800	{"ltank":30}
656	swamp	31	195	1	0	{"armored":5}
657	forest	32	28	4	0	{"motor":20}
658	oil	32	50	4	3200	{"motor":20}
659	ironworks	32	54	1	800	{"armored":5}
660	hill	32	83	2	0	{"ltank":10}
661	oil	32	106	5	4000	{"infantry":25}
662	oil	32	119	4	3200	{"motor":20}
663	swamp	32	179	4	0	{"infantry":20}
664	oil	33	5	5	4000	{"infantry":25}
665	hill	33	38	1	0	{"motor":5}
666	swamp	33	103	1	0	{"armored":5}
667	hill	33	128	5	0	{"ltank":25}
668	forest	34	42	6	0	{"infantry":30}
669	oil	34	44	4	3200	{"armored":20}
670	rarefactory	34	82	5	4000	{"motor":25}
671	forest	34	132	3	0	{"armored":15}
672	rarefactory	34	138	1	800	{"infantry":5}
673	rarefactory	34	146	3	2400	{"motor":15}
674	ironworks	34	158	1	800	{"armored":5}
675	forest	35	94	3	0	{"infantry":15}
676	oil	35	185	3	2400	{"armored":15}
677	oil	36	9	4	3200	{"ltank":20}
678	ironworks	36	51	4	3200	{"motor":20}
679	oil	36	178	2	1600	{"ltank":10}
680	grainfield	37	15	3	2400	{"armored":15}
681	forest	37	110	4	0	{"ltank":20}
682	swamp	38	53	2	0	{"ltank":10}
683	grainfield	38	81	3	2400	{"ltank":15}
684	grainfield	38	84	6	4800	{"ltank":30}
685	rarefactory	38	116	6	4800	{"motor":30}
686	swamp	39	21	1	0	{"ltank":5}
687	rarefactory	39	167	5	4000	{"ltank":25}
688	hill	40	17	3	0	{"infantry":15}
689	rarefactory	40	136	6	4800	{"infantry":30}
690	grainfield	40	162	2	1600	{"motor":10}
691	ironworks	40	175	1	800	{"infantry":5}
692	grainfield	40	181	2	1600	{"ltank":10}
693	ironworks	41	21	4	3200	{"ltank":20}
694	ironworks	41	23	2	1600	{"motor":10}
695	oil	41	102	6	4800	{"infantry":30}
696	oil	41	124	3	2400	{"infantry":15}
697	rarefactory	42	3	6	4800	{"armored":30}
